query,position,impressions,clicks,ctr
hal fiyatları ankara,5.402597402597403,308,1,0.003246753246753247
incir kilosu ne kadar 2026,7.2368421052631575,304,1,0.003289473684210526
portakal fiyatları,7.477351916376307,287,1,0.003484320557491289
salatalık fiyatı,8.102189781021899,274,2,0.0072992700729927005
kızılcık kilosu kaç tl,6.861423220973783,267,3,0.011235955056179775
pembe domates fiyatı,7.675471698113207,265,6,0.022641509433962263
kayseri hal fiyat listesi,5.89811320754717,265,5,0.018867924528301886
domates fiyatları 2026,5.473484848484849,264,7,0.026515151515151516
kayseri salçalık domates fiyatları,8.045627376425855,263,2,0.0076045627376425855
meyve suluk elma fiyatları,6.772200772200772,259,4,0.015444015444015444
salçalık domates kg fiyatı,8.58498023715415,253,2,0.007905138339920948
hatay hal fiyatları,5.304,250,7,0.028
kuru üzüm fiyatı 2026,7.288,250,2,0.008
yeşil fasulye fiyatı 2026,3.0120967741935485,248,7,0.028225806451612902
ahududu fiyatı,8.125,248,5,0.020161290322580645
alanya hal fiyatları,9.576612903225806,248,3,0.012096774193548387
mersin limon fiyatları 2026,5.322448979591837,245,3,0.012244897959183673
sarımsak fiyatı,8.661224489795918,245,2,0.00816326530612245
bamya kilosu ne kadar 2026,8.033333333333333,240,2,0.008333333333333333
limon kg fiyatı,7.029411764705882,238,4,0.01680672268907563
taze barbunya kilosu kaç tl,5.819327731092437,238,4,0.01680672268907563
taze fasulye fiyatı 2026,2.851063829787234,235,6,0.02553191489361702
kuru fasulye fiyatı 2026,8.02127659574468,235,4,0.01702127659574468
marul fiyatı,8.399141630901287,233,2,0.008583690987124463
mersin hal fiyatları günlük 2026 fiyatları,9.323275862068966,232,3,0.01293103448275862
bursa domatesi fiyatı,6.935064935064935,231,6,0.025974025974025976
malatya toptan kayısı fiyatları,9.1991341991342,231,6,0.025974025974025976
limon fiyat,6.223684210526316,228,0,0
böğürtlenin kilosu ne kadar,6.5198237885462555,227,4,0.01762114537444934
portakal piyasası,5.47136563876652,227,3,0.013215859030837005
kabak fiyatları,5.223214285714286,224,6,0.026785714285714284
kuru fasulye fiyatları 2026,9.14864864864865,222,0,0
mersin mandalina fiyatları,7.334841628959276,221,3,0.013574660633484163
karpuz fiyatları,7.9363636363636365,220,3,0.013636363636363636
malatya hal,5.577272727272727,220,3,0.013636363636363636
salçalik domates hal fiyatları,5.995454545454545,220,2,0.00909090909090909
konya hal,5.404545454545454,220,1,0.004545454545454545
osmaniye hal,9.05,220,1,0.004545454545454545
halde domates ne kadar,8.726027397260275,219,6,0.0273972602739726
söğüt hal fiyatları,9.252293577981652,218,0,0
erik fiyatı,5.119815668202765,217,2,0.009216589861751152
bayrampaşa hal numaraları,7.859903381642512,207,3,0.014492753623188406
hal bülteni,9.48768472906404,203,0,0
limon piyasası mersin,7.28643216080402,199,2,0.010050251256281407
mayer limon fiyatları,7.107142857142857,196,4,0.02040816326530612
patatesin kilosu ne kadar,9.040816326530612,196,0,0
trabzon hal,7.75,196,0,0
diyarbakır sebze hali,8.443298969072165,194,0,0
incirin kilosu ne kadar 2026,8.974226804123711,194,0,0
limon fiyatları mersin,6.381443298969073,194,0,0
dolma biber fiyatı,6.461139896373057,193,4,0.02072538860103627
kahramanmaraş hal,6.322916666666667,192,3,0.015625
kekik fiyatı,8.795811518324609,191,1,0.005235602094240838
kekik piyasası,5.664921465968586,191,0,0
kayseri hal salçalık domates fiyatları,6.4526315789473685,190,3,0.015789473684210527
erdemli limon piyasası 2026,5.457894736842105,190,2,0.010526315789473684
meysuluk elma fiyatları,8.41578947368421,190,2,0.010526315789473684
denizli kekik fiyatları,9.925925925925926,189,1,0.005291005291005291
mersin sebze hali,9.989304812834225,187,1,0.0053475935828877
çilek fiyatı,7.227027027027027,185,1,0.005405405405405406
gölhisar hal fiyatları,10,185,0,0
limon fiyatı,7.217391304347826,184,3,0.016304347826086956
incir kg fiyatı 2026,6.043715846994536,183,5,0.0273224043715847
konya sebze hali,8.222222222222221,180,2,0.011111111111111112
mersin hal fiyatları günlük,8.47486033519553,179,4,0.0223463687150838
ibb hal,9.307262569832401,179,2,0.0111731843575419
yaban mersini kg fiyatı 2026,3.1977401129943503,177,4,0.022598870056497175
limon kilosu,8.577142857142857,175,0,0
bamyanın kilosu ne kadar 2026,7.712643678160919,174,0,0
gaziantep hal,9.574712643678161,174,0,0
tokat sebze hali,5.705202312138728,173,4,0.023121387283236993
niğde hal,5.907514450867052,173,3,0.017341040462427744
kızılcık kilosu ne kadar,6.678362573099415,171,2,0.011695906432748537
k maraş salçalık biber fiyatları,8.882352941176471,170,4,0.023529411764705882
kudret narı fiyatı 2026,5.053254437869822,169,3,0.01775147928994083
dikenli limon fiyatları,8.668639053254438,169,2,0.011834319526627219
şaraplık üzüm fiyatları 2026,8.14792899408284,169,0,0
izmir sebze hali fiyatları 2026 fiyatları,7.821428571428571,168,4,0.023809523809523808
mersin hal fiyatları günlük 2026,8.646706586826348,167,2,0.011976047904191617
niğde nevşehir patates fiyatları,7.751515151515152,165,4,0.024242424242424242
samsun sebze hali,8.914634146341463,164,3,0.018292682926829267
erzurum sebze hali,8.836477987421382,159,2,0.012578616352201259
bursa hali,9.742138364779874,159,1,0.006289308176100629
izmit sebze hali fiyatları,5.531645569620253,158,3,0.0189873417721519
mersin mayer limon fiyatları,5.7215189873417724,158,3,0.0189873417721519
fasulye fiyatları,7.1075949367088604,158,0,0
brokoli fiyat,5.649681528662421,157,3,0.01910828025477707
kayısı kilosu ne kadar 2026,2.2774193548387096,155,3,0.01935483870967742
domates kilosu kaç tl,8.116129032258065,155,0,0
ulus hal balık fiyatları,8.5,152,2,0.013157894736842105
limon kg,9.417218543046358,151,2,0.013245033112582781
taze börülce fiyatı,7.6158940397351,151,2,0.013245033112582781
izmir hal,9.986754966887418,151,1,0.006622516556291391
kızılcık meyvesi fiyatı,8.1,150,1,0.006666666666666667
kültür mantarı fiyatı,5.87248322147651,149,3,0.020134228187919462
mandalina fiyat,6.89261744966443,149,2,0.013422818791946308
domates fiyatları,8.303448275862069,145,4,0.027586206896551724
şanlıurfa hal pazarı,9.708333333333334,144,0,0
üzüm fiyatı 2026,2.951048951048951,143,3,0.02097902097902098
ananas fiyatı 2026,5.176056338028169,142,1,0.007042253521126761
tarlada limon fiyatı,6.071428571428571,140,3,0.02142857142857143
patlıcan fiyatı 2026,2.697841726618705,139,2,0.014388489208633094
istanbul hal fiyatı,4.536231884057971,138,2,0.014492753623188406
sakarya hal,9.644927536231885,138,1,0.007246376811594203
batman sebze hali,9.18978102189781,137,1,0.0072992700729927005
güncel patates fiyatları,5.6911764705882355,136,2,0.014705882352941176
kekik kilosu ne kadar 2026,4.139705882352941,136,2,0.014705882352941176
niğde patates fiyatı,6.303703703703704,135,3,0.022222222222222223
şanlıurfa hal fiyatları,7.229629629629629,135,3,0.022222222222222223
izmir sebze hali fiyatları,9.266666666666667,135,2,0.014814814814814815
sivas sebze hali,7.2611940298507465,134,1,0.007462686567164179
samsun hal,4.623076923076923,130,2,0.015384615384615385
meyve sebze hali,9.007692307692308,130,1,0.007692307692307693
nohut kg fiyatı 2026,8.930769230769231,130,1,0.007692307692307693
istanbul sebze hali,8.728682170542637,129,1,0.007751937984496124
alaca ticaret borsasi nohut fiyatları,9.914728682170542,129,0,0
bugünkü balık fiyatları ankara,7.2265625,128,3,0.0234375
karpuzun kilosu ne kadar 2026,3.9375,128,1,0.0078125
mersin hal fiyatları limon,6.833333333333333,126,2,0.015873015873015872
sakarya hal fiyatları,9.144,125,1,0.008
domatesin kilosu kaç tl,7.72,125,0,0
mısır fiyatları 2026,9.870967741935484,124,1,0.008064516129032258
biber fiyatı 2026,8.370967741935484,124,0,0
kavunun kilosu ne kadar 2026,2.846774193548387,124,0,0
ankara sebze hali fiyatları,7.235772357723577,123,3,0.024390243902439025
istanbul hali,9.138211382113822,123,3,0.024390243902439025
sivas hal fiyatları,8.292682926829269,123,0,0
hal fiyat,9.549180327868852,122,3,0.02459016393442623
tekirdağ hal fiyatları,7.041322314049586,121,1,0.008264462809917356
domatesin kilosu ne kadar,5.43801652892562,121,0,0
silifke limon piyasası,8.453781512605042,119,1,0.008403361344537815
sarımsak fiyatları 2026,3.5338983050847457,118,2,0.01694915254237288
batman hal,7.165217391304348,115,2,0.017391304347826087
elazığ hal,6.417391304347826,115,1,0.008695652173913044
erdemli hal fiyatları bugün,1.5535714285714286,112,3,0.026785714285714284
nektarin fiyatları,5.705357142857143,112,3,0.026785714285714284
patates kilo fiyatı,9.1875,112,1,0.008928571428571428
limonun kilosu ne kadar 2026,3.205357142857143,112,0,0
böğürtlen fiyatı,6.009009009009009,111,1,0.009009009009009009
mersin limon fiyatı,7.09009009009009,111,0,0
tarlada patates fiyatı,5.263636363636364,110,3,0.02727272727272727
adana hali,6.348623853211009,109,3,0.027522935779816515
patlıcan kg fiyatı,8.449541284403669,109,1,0.009174311926605505
şeftali kilosu kaç tl,6.275229357798165,109,1,0.009174311926605505
adana sebze meyve hali,9.88888888888889,108,2,0.018518518518518517
eriğin kilosu ne kadar,8.518518518518519,108,1,0.009259259259259259
manisa hal,9.74074074074074,108,0,0
gaziantep fıstık hali komisyoncuları,5.88785046728972,107,3,0.028037383177570093
2026 kuru fasulye fiyatları,7.813084112149533,107,2,0.018691588785046728
hatay da limon fiyatları,8.542056074766355,107,1,0.009345794392523364
karatay sebze hali,9.663551401869158,107,0,0
erzurum hal,4.650943396226415,106,3,0.02830188679245283
üzüm kilosu ne kadar 2026,2.69811320754717,106,3,0.02830188679245283
tarlada soğan fiyatı,6.150943396226415,106,2,0.018867924528301886
güncel kayısı fiyatları,8.084905660377359,106,1,0.009433962264150943
böğürtlen kilosu,6.2,105,3,0.02857142857142857
çilek kg fiyatı,8.914285714285715,105,3,0.02857142857142857
2026 kuru üzüm fiyatı,7.390476190476191,105,1,0.009523809523809525
bamya kg fiyatı 2026,7.695238095238095,105,1,0.009523809523809525
kayısı fiyatları,9.26923076923077,104,2,0.019230769230769232
erik kilosu ne kadar,7.203883495145631,103,2,0.019417475728155338
kayseri hal fiyatları bugün,6.233009708737864,103,1,0.009708737864077669
adana mandalina fiyati,6.980582524271845,103,0,0
mandalin fiyatları,6.728155339805825,103,0,0
kocaeli sebze hali fiyatları,5.421568627450981,102,2,0.0196078431372549
samsun sebze meyve hali,9.117647058823529,102,0,0
adana mayer limon piyasası,9.356435643564357,101,2,0.019801980198019802
salatalık kilosu ne kadar,8.772277227722771,101,0,0
konya ereğli hal fiyatları,4.92,100,1,0.01
