document,id,status,disposition,evidence
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A5.3,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A5.4,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A7.1,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A7.2,~,official_source_or_series_gate,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A7.3,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A7.4,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A9.2,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A10.2,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A12.2,~,performance_acceptance_open,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A12.3,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-RAKIP-KESFI-BULGULARI-2026-09-08.md,0,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-RAKIP-KESFI-BULGULARI-2026-09-08.md,0b,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-RAKIP-KESFI-BULGULARI-2026-09-08.md,1,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-RAKIP-KESFI-BULGULARI-2026-09-08.md,2,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-RAKIP-KESFI-BULGULARI-2026-09-08.md,3,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-RAKIP-KESFI-BULGULARI-2026-09-08.md,4,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-RAKIP-KESFI-BULGULARI-2026-09-08.md,5,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-RAKIP-KESFI-BULGULARI-2026-09-08.md,6,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-RAKIP-KESFI-BULGULARI-2026-09-08.md,7,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
