domain,kind,queries,sample_average_position,ahead_queries,our_gsc_impressions_on_shared_queries,sample_url
sokmarket.com.tr,diger,2,13.5,0,3851,https://www.sokmarket.com.tr/patates-kg-p-35919
aa.com.tr,diger,2,16.0,0,5330,https://www.aa.com.tr/tr/ekonomi/turfanda-limon-hasadiyla-fiyatlarin-dengelenmesi-ongoruluyor/3266856
corum.bel.tr,resmi,2,16.5,0,2641,https://www.corum.bel.tr/hal-fiyatlari
alanyapostasi.com.tr,diger,2,18.5,0,3285,https://www.alanyapostasi.com.tr/fiyatlar-dusmek-bilmiyor-antalya-halinde-durum-vahim
biletinial.com,diger,2,19.0,0,6324,https://biletinial.com/tr-tr/tiyatro/sen-de-gitme-triyandafilis-dt
gaziantep.bel.tr,resmi,1,1.0,1,1234,https://www.gaziantep.bel.tr/tr/hal-rayic
kahramanmaras.bel.tr,resmi,1,1.0,1,1736,https://kahramanmaras.bel.tr/hal-sebze-ve-meyve-fiyatlari
pazarmap.com,diger,1,1.0,1,1019,https://pazarmap.com/uzum-fiyatlari/
acikyesil.bursa.bel.tr,resmi,1,3.0,1,1866,https://acikyesil.bursa.bel.tr/dataset/hal-fiyatlari/resource/23e05731-cddc-4d7d-a01b-c64b5c3b3f9b
biantep.com,diger,1,3.0,1,1234,https://biantep.com/hal-fiyatlari
kmtb.org.tr,diger,1,3.0,1,1736,https://kmtb.org.tr/member-list.php?i=16
tarimdunyasi.net,diger,1,3.0,0,842,https://www.tarimdunyasi.net/taris-kuru-uzume-brut-80-lira-avans-fiyat-acikladi/
bugunkocaeli.com.tr,diger,1,4.0,1,1093,https://www.bugunkocaeli.com.tr/kocaeli-hal-fiyatlari-aciklandi-sebze-ve-meyvede-son-durum-19-mart-2026
egetelgraf.com,diger,1,4.0,1,1358,https://www.egetelgraf.com/adanada-mayer-cinsi-limon-hasadi-basladi-fiyatlar-yuksek-seviyede
gidaveri.com,diger,1,4.0,0,1019,https://gidaveri.com/sehir/istanbul/uzum.html
tmo.gov.tr,resmi,1,4.0,1,898,https://www.tmo.gov.tr/Upload/Document/KUzum/Ualimfiyat2022.pdf
tr.tradingeconomics.com,diger,1,5.0,0,2639,https://tr.tradingeconomics.com/commodity/potatoes
yenibakishaber.com,diger,1,5.0,0,1019,https://www.yenibakishaber.com/ciftci-sen-uzumde-verim-artti-uretici-fiyatlardan-memnun-degil
yenikonya.com.tr,diger,1,5.0,1,1949,https://www.yenikonya.com.tr/konya/konya_hal_fiyatlari_2025-1947893
acikveri.konya.bel.tr,resmi,1,6.0,1,1949,https://acikveri.konya.bel.tr/dataset/?tags=hal+fiyatlar%C4%B1
marasbugun.com.tr,diger,1,6.0,0,1736,https://www.marasbugun.com.tr/kahramanmarasta-guncel-sebze-ve-meyve-hal-fiyatlari
medyayenigun.net,diger,1,6.0,0,1019,https://www.medyayenigun.net/foto/28642144/uzum-fiyatlari-2026-ne-kadar-yas-ve-kuru-uzumun-kilosu-kac-tl
mersingazetesi.com,diger,1,6.0,0,3343,https://mersingazetesi.com/index.php/2026/07/06/uretim-merkezi-mersinde-limonun-kilosu-75-tl/
milletgazetesi27.com,diger,1,6.0,0,1234,https://www.milletgazetesi27.com/haber-gaziantepte-gunun-hal-fiyatlari-belli-oldu-4734.html
tarsusmersin.com,diger,1,6.0,1,2051,https://tarsusmersin.com/hal-fiyatlari/
tazedukkan.com.tr,diger,1,6.0,1,1828,https://www.tazedukkan.com.tr/organil-rio-salcalik-domates-5-kg-urun1708.html
trendyol.com,diger,1,6.0,0,1119,https://www.trendyol.com/nar-aksesuar-x-b143475-c27
ulasav.csb.gov.tr,resmi,1,6.0,1,2306,https://ulasav.csb.gov.tr/dataset/38-kayseri-hal-fiyat-listesi
asemkom.org.tr,diger,1,7.0,1,2981,https://www.asemkom.org.tr/wp-content/uploads/2023/12/4_12_2023.pdf
edetv.com.tr,diger,1,7.0,0,1736,https://www.edetv.com.tr/kahramanmaras-hal-fiyatlari-2024-gunluk-sebze-ve-meyve-fiyatlari
ensonhaber.com,diger,1,7.0,1,1358,https://www.ensonhaber.com/ekonomi/adanada-mayer-cinsi-limonun-hasadi-erken-basladi-fiyatlari-dusurecek-hasat
gaziantephaber.com,diger,1,7.0,0,1234,https://www.gaziantephaber.com/gaziantep-hal-fiyatlari/12616/
hakimiyet.com,diger,1,7.0,1,1949,https://www.hakimiyet.com/konya-hal-fiyatlari-belli-oldu/97407/
kayserihaber.com.tr,diger,1,7.0,1,2306,https://kayserihaber.com.tr/haber/kayseri_guncel_hal_fiyatlari_7_temmuz-81747
makbul.com,diger,1,7.0,1,898,https://www.makbul.com/urun/detay/genel/cekirdeksiz-izmir-uzum-kg/129
tazemasa.com,diger,1,7.0,0,3343,https://www.tazemasa.com/limon-mersin-kg-25
gtb.org.tr,diger,1,8.0,0,1234,https://www.gtb.org.tr/gunluk-bulten
kanalmaras.com,diger,1,8.0,0,1736,https://www.kanalmaras.com/kahramanmarasta-hal-fiyatlari-belli-oldu-en-pahali-urun-sasirtti
salihlitb.org.tr,diger,1,8.0,1,898,https://www.salihlitb.org.tr/128/uzum-fiyat-verileri
tarsustb.tobb.org.tr,diger,1,8.0,1,2051,https://tarsustb.tobb.org.tr/B%C3%BClten/HalFiyatlar%C4%B1/tabid/17906/Default.aspx
ciftcikolik.com,diger,1,9.0,0,1019,https://ciftcikolik.com/fiyatlar/istanbul/uzum
gazetesehir.com,diger,1,9.0,0,1348,https://gazetesehir.com/haber/21443227/denizlide-hal-fiyatlari-guncellendi-zam-var-mi
halktanpazar.com,diger,1,9.0,1,898,https://www.halktanpazar.com/kuru-uzum
kayserianadoluhaber.com.tr,diger,1,9.0,0,2306,https://www.kayserianadoluhaber.com.tr/kayseri-hal-fiyatlari-bu-hafta-dustu-7-urunde-buyuk-indirim/160971
milligazete.com.tr,diger,1,9.0,0,842,https://www.milligazete.com.tr/ciftcinin-bekledigi-haber-geldi-taris-2026-yili-kuru-uzum-avans-fiyatlari-belli-oldu
olaymedya.com,diger,1,9.0,0,1234,https://www.olaymedya.com/ekonomi/17404957/gaziantep-25-nisan-2025-hal-fiyatlari-aciklandi-sebze-ve-meyvede-guncel-durum
apexhali.com,diger,1,10.0,0,1226,https://www.apexhali.com/
bettybluecityfarm.com.tr,diger,1,10.0,0,2051,https://www.bettybluecityfarm.com.tr/raporlar/hal/mersin-yaban-mersini/
cukurovagazetesi.com,diger,1,10.0,0,3343,https://cukurovagazetesi.com/mersinde-limon-fiyatlari-rekor-kiriyor
denizliyeniolay.com,diger,1,10.0,0,1348,https://denizliyeniolay.com/etiket/hal-fiyatlari
gazianteppostasi.com,diger,1,10.0,0,1234,https://www.gazianteppostasi.com/haber/gaziantep-hal-fiyatlari-05-subat-2026
habergazetesi.com.tr,diger,1,10.0,0,1019,https://www.habergazetesi.com.tr/sarap-fiyatlari
haller.kocaeli.bel.tr,resmi,1,10.0,1,1093,http://haller.kocaeli.bel.tr/
konhaber.com,diger,1,10.0,1,1949,https://www.konhaber.com/etiket-konya%20hal%20fiyatlar%C4%B1
paradurumu.com,diger,1,10.0,0,775,https://www.paradurumu.com/finans/2023-ankara-hal-fiyatlari-bugun-ankara-hal-piyasasi-17451
tkkoop.com.tr,diger,1,10.0,0,1212,https://www.tkkoop.com.tr/urun/kuru-sogan-kg
antalyagundem.com.tr,diger,1,11.0,0,2051,https://www.antalyagundem.com.tr/mersin-hal-fiyatlari
ertehaber.com,diger,1,11.0,1,1828,https://ertehaber.com/Haber/salcalik-domates-fiyatlari-2-kat-artti
eski.konya.bel.tr,resmi,1,11.0,1,1949,https://eski.konya.bel.tr/sayfadetay.php?sayfaID=722
haberankara.com,diger,1,11.0,0,2981,https://www.haberankara.com/ankara/ankara-buyuksehir-belediyesi-hal-fiyatlari-belli-oldu-21-ekim-ankara-hal-meyve-sebze-fiyatlari/232898
mansetiz.com,diger,1,11.0,0,1019,https://www.mansetiz.com/taris-2026-kuru-uzum-alim-fiyatini-acikladi
odatv.com,diger,1,11.0,0,4118,https://www.odatv.com/ekonomi/limon-kilosu-ne-kadar-oldu-limon-fiyatlari-neden-artti-120050508
paradergi.com.tr,diger,1,11.0,0,985,https://www.paradergi.com.tr/sektorler/2024/07/15/limon-tarlada-kalinca-fiyati-uctu
samurhalitr.com,diger,1,11.0,0,1226,https://www.samurhalitr.com/Ankara-Hali-Fiyatlari
telgraf.net,diger,1,11.0,0,1234,https://telgraf.net/haber/25365121/gaziantep-hal-fiyatlari-fiyatlari-belli-oldu-30062025
gaziantepolusum.com,diger,1,12.0,0,1234,https://www.gaziantepolusum.com/haberleri/gaziantep-hal-fiyatlari
marasmanset.com,diger,1,12.0,0,842,https://www.marasmanset.com/2026-yili-kahramanmarasta-uzum-pekmezi-fiyatlari
mersinyasam.net,diger,1,12.0,0,985,https://mersinyasam.net/tag/mersin-erdemli-limon-fiyatlari-mukerrem-tollu-erdemli-belediyesi/
n11.com,diger,1,12.0,0,1019,https://www.n11.com/supermarket?q=kuru+%C3%BCz%C3%BCm
paratik.net,diger,1,12.0,1,1936,https://paratik.net/istanbul-hal-fiyatlari/
tarimtv.gov.tr,resmi,1,12.0,0,2639,https://www.tarimtv.gov.tr/tr/video-detay/patates-fiyatlar-de-geti-3990
gaziantepdogus.com,diger,1,13.0,0,1234,https://www.gaziantepdogus.com/foto-galeri/4-temmuz-gaziantep-hal-fiyatlari-aciklandi
genccivrilgazetesi.com,diger,1,13.0,0,1348,https://www.genccivrilgazetesi.com/sebze-meyve-fiyatlari-artiyor-denizlide-guncel-hal-fiyatlari
marasgurme.com,diger,1,13.0,1,898,https://www.marasgurme.com/kategori/cekirdekli-siyah-kuru-uzum
meyvehos.com.tr,diger,1,13.0,1,1249,https://www.meyvehos.com.tr/iletisim/
oisbuis.com,diger,1,13.0,0,1866,https://www.oisbuis.com/fiyatlar/bursa-hal-fiyatlari-guncel-meyve-ve-sebze-fiyati.html
portakalbahcem.com,diger,1,13.0,0,1119,https://www.portakalbahcem.com/hicaz-nar-1-kg-nhf002
ticarihayat.com,diger,1,13.0,0,842,https://www.ticarihayat.com/taris-uzum-alim-fiyatini-ve-surec-takvimini-acikladi
ankarahalfiyatlari.wordpress.com,diger,1,14.0,0,1226,https://ankarahalfiyatlari.wordpress.com/
bilgikonu.com,diger,1,14.0,0,1936,https://www.bilgikonu.com/bayrampasa-hal-fiyatlari/
haberdairesi.com,diger,1,14.0,1,1949,https://haberdairesi.com/konya/konya-hal-fiyatlari-guncel-sebze-ve-meyve-satis-rakamlari-aciklandi-129624h
halekstra.com,diger,1,14.0,0,1119,https://www.halekstra.com/urun/nar-kasa-fiyati
ilkaykoenec.com,diger,1,14.0,0,3139,https://www.ilkaykoenec.com/tr/trimmobilienpreisefrankurt
kaptangazetesi.com.tr,diger,1,14.0,0,6157,https://www.kaptangazetesi.com.tr/adalar/istanbulda-guncel-hal-fiyatlari/6009/
kocaeligazetesi.com.tr,diger,1,14.0,1,1093,https://www.kocaeligazetesi.com.tr/haber/1379858/halde-sebze-ve-meyve-fiyatlari
mersintb.org.tr,diger,1,14.0,0,2051,https://mersintb.org.tr/gunlukFiyatlar/GUNLUK_FIYAT_LISTESI
nobetcigazete.com,diger,1,14.0,0,4403,https://www.nobetcigazete.com/adana-salgami-avrupa-birliginden-cografi-isaret-tescili-aldi
patatesborsasi.com,diger,1,14.0,0,2639,https://patatesborsasi.com/
royalhali.com,diger,1,14.0,0,1234,https://www.royalhali.com/
salcalikdomates.com,diger,1,14.0,1,1828,https://www.salcalikdomates.com/
yazdin.com,diger,1,14.0,0,1866,https://www.yazdin.com/bursa-hal-fiyatlari-hikmet-sahin-kent-hal-fiyat-listesi/
acikveri.kayseri.bel.tr,resmi,1,15.0,0,2306,https://acikveri.kayseri.bel.tr/veri-seti/kayseri-hal-fiyat-listesi/9
gida.ibb.istanbul,resmi,1,15.0,0,1023,https://gida.ibb.istanbul/hal-mudurlugu/hal-fiyatlari.html
kanal46.com,diger,1,15.0,0,1736,https://www.kanal46.com/kahramamaras-hal-fiyatlari-sasirtti
kayisicenter.com,diger,1,15.0,1,898,https://www.kayisicenter.com/kategori/kuru-uzum
manisa.bel.tr,resmi,1,15.0,1,1828,https://www.manisa.bel.tr/apps/sebzemeyvehali/GosterimAy.aspx
metro-tr.com,diger,1,15.0,0,4403,https://www.metro-tr.com/urunlerimiz
patronlardunyasi.com,diger,1,15.0,0,4118,https://www.patronlardunyasi.com/tarlada-kilosu-1-liraya-dusen-limon-iki-yil-sonra-markette-100-lirayi-asti
alibotanik.com,diger,1,16.0,0,1119,https://www.alibotanik.com/kategori/nar-fidani
bolgegazetesi.com.tr,diger,1,16.0,1,1358,https://bolgegazetesi.com.tr/adanada-limon-fiyatlari-neden-artiyor/
boyner.com.tr,diger,1,16.0,0,4403,https://www.boyner.com.tr/parfum-x-c4001
eataly.com.tr,diger,1,16.0,0,4838,https://www.eataly.com.tr/media/pumpt4np/pizza-e-cucina-menu.pdf
ekonomigazetesi.com,diger,1,16.0,0,1212,https://www.ekonomigazetesi.com/sektor-haberleri/bayraktar-depoda-sogan-patates-kalmadi-fiyat-yuzde-45-artti-80412
halicinihat.com,diger,1,16.0,0,1226,https://halicinihat.com/
marastanhaber.com.tr,diger,1,16.0,0,1736,https://www.marastanhaber.com.tr/kahramanmaras-hal-fiyatlari-2023-kahramanmaras-halinde-domates-fiyati-ne-kadar-iste-66923h.htm
memurlar.net,diger,1,16.0,1,1093,https://www.memurlar.net/haber/260681/kocaeli-de-sebze-ve-meyve-fiyatlari.html
vietnam.vn,diger,1,16.0,0,4118,https://www.vietnam.vn/tr/diem-bao-nganh-cong-thuong-ngay-16-4-2026
afyon.bel.tr,resmi,1,17.0,1,1249,https://afyon.bel.tr/icerikler/0/549/toptanci-hal-fiyatlari
bigpara.hurriyet.com.tr,diger,1,17.0,0,4838,https://bigpara.hurriyet.com.tr/haberler/genel-haberler/limonda-fiyatlari-dusurecek-hasat_ID1616271/
bilgigazetesi.org,diger,1,17.0,1,1828,https://bilgigazetesi.org/haber/2024-yili-salcalik-domates-fiyatlari-ne-kadar-oldu
borsa.tobb.org.tr,diger,1,17.0,1,898,https://borsa.tobb.org.tr/fiyat_urun3.php?ana_kod=9&alt_kod=916
durumle.com,diger,1,17.0,0,2639,https://www.durumle.com/lezzetler
esiparis.ihe.istanbul,diger,1,17.0,0,6157,https://esiparis.ihe.istanbul/
rudaw.net,diger,1,17.0,0,1212,https://www.rudaw.net/turkish/business/250420264
yaylahaber.com.tr,diger,1,17.0,0,4403,https://www.yaylahaber.com.tr/limon-ithalatinda-gumruk-vergisi-yuzde-10a-dusuruldu
birgun.net,diger,1,18.0,0,1234,https://www.birgun.net/makale/tiyatro-sanat-oldugu-kadar-saygidir-706091
cnnturk.com,diger,1,18.0,0,4403,https://www.cnnturk.com/ekonomi/limon-ithalatinda-gumruk-vergisi-gecici-olarak-dusuruldu-2405528
ebelediye.kocaeli.bel.tr,resmi,1,18.0,1,1093,https://ebelediye.kocaeli.bel.tr/WebForms/Haller/HalFiyatlari.aspx
egeyonhaber.com,diger,1,18.0,0,1348,https://www.egeyonhaber.com/tag/hal-fiyatlari/
ilkha.com,diger,1,18.0,0,2051,https://ilkha.com/guncel/sanliurfa-da-pazarci-esnafi-fiyatlari-degerlendirdi-527607
kastamonu.edu.tr,diger,1,18.0,0,2639,https://kastamonu.edu.tr/tr/yemeklistesi
sochic.com,diger,1,18.0,0,4118,https://www.sochic.com/
superhaber.com,diger,1,18.0,0,1052,https://www.superhaber.com/etiket/istanbul-hal-fiyatlari
tr.pandora.net,diger,1,18.0,0,6157,https://tr.pandora.net/
antalya.bel.tr,resmi,1,19.0,0,775,https://www.antalya.bel.tr/tr/halden-gunluk-fiyatlar
avokadocuayse.com,diger,1,19.0,0,4118,https://www.avokadocuayse.com/
eskitadinda.com,diger,1,19.0,1,1828,https://www.eskitadinda.com/yerli-salcalik-petemek-domates-5-kg-p
groseri.com.tr,diger,1,19.0,1,898,https://www.groseri.com.tr/
isparta.bel.tr,resmi,1,19.0,0,6157,https://www.isparta.bel.tr/hal-meyve-ve-sebze-fiyatlari
lcw.com,diger,1,19.0,0,3343,https://www.lcw.com/marka/lcw-home-b-307
manisamansetgazetesi.com,diger,1,19.0,0,842,https://www.manisamansetgazetesi.com/manisa-haberleri/uzum-ureticisinde-buyuk-hayal-kirikligi-maliyet-93-lira-fiyat-80-lira/620670
nuribeyciftligi.com,diger,1,19.0,1,1358,https://nuribeyciftligi.com/yas-meyve
oncudoner.com,diger,1,19.0,0,2639,https://www.oncudoner.com/
sebzemeyvedunyasi.com,diger,1,19.0,0,4838,https://www.sebzemeyvedunyasi.com/limon-yatak-kg
biga.bel.tr,resmi,1,20.0,0,6157,https://www.biga.bel.tr/vefat-edenler
cagri.com,diger,1,20.0,0,1212,https://www.cagri.com/sogan-kuru-taze-kg
gurmar.com.tr,diger,1,20.0,0,4403,https://www.gurmar.com.tr/
halkatalogu.com,diger,1,20.0,0,1736,http://halkatalogu.com/il/kahramanmaras
hatay.bel.tr,resmi,1,20.0,0,4838,https://hatay.bel.tr/hal-fiyatlari
tzob.org.tr,diger,1,20.0,0,4118,https://www.tzob.org.tr/2022-yili-ve-aralik-ayi-uretici-ile-market-fiyatlari/
urfanatik.com,diger,1,20.0,1,1828,https://www.urfanatik.com/sanliurfada-salcalik-domatesin-fiyati-aciklandi-kilosu-kac-lira
