domain,query,sample_competitor_position,sample_our_position,ahead_in_sample,competitor_url,our_gsc_position,our_gsc_impressions,target_path,action
adana.bel.tr,mersin hal fiyatları,19,9,False,https://www.adana.bel.tr/tr/hal-fiyat-listesi,8.46,2051,/hal/mersin-hal,Son kaynak tarihi 22 Haziran; yeni yazıdan önce güncel resmi kaynak ve ETL sorununu çöz.
adana.bel.tr,bursa hal fiyatları,19,11,False,https://www.adana.bel.tr/tr/hal-fiyat-listesi,2.85,1866,/hal/bursa-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
adana.bel.tr,gaziantep hal fiyatları,19,4,False,https://www.adana.bel.tr/tr/ukome,4.62,1234,/hal/gaziantep-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
adatarimurunleri.com.tr,bayrampaşa hal fiyatları,2,13,True,https://www.adatarimurunleri.com.tr/istanbul-bayrampasa-hal-fiyatlari/,3.96,1936,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
adatarimurunleri.com.tr,bayrampaşa meyve sebze hali fiyat listesi,1,,True,https://www.adatarimurunleri.com.tr/istanbul-bayrampasa-hal-fiyatlari/,4.03,1249,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
adatarimurunleri.com.tr,istanbul sebze hali fiyatları,13,8,False,https://www.adatarimurunleri.com.tr/istanbul-bayrampasa-hal-fiyatlari/,5.24,1023,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
afyon.bel.tr,bayrampaşa meyve sebze hali fiyat listesi,17,,True,https://afyon.bel.tr/icerikler/0/549/toptanci-hal-fiyatlari,4.03,1249,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
akakce.com,limon fiyatları,8,5,False,https://www.akakce.com/meyve/limonlar.html,5.85,4838,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
akakce.com,limon piyasası,7,6,False,https://www.akakce.com/meyve/limonlar.html,5.64,4118,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
akakce.com,patates fiyatları,1,4,True,https://www.akakce.com/sebze/patatesler.html,7.14,2639,/urun/patates,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
akakce.com,salçalık domates fiyatları,1,,True,https://www.akakce.com/arama/?q=sal%C3%A7al%C4%B1k+domates,7.93,1828,/urun/domates-salcalik,"Mevcut sayfayı Rio/çeşit, hal-fabrika ayrımı ve veriye dayalı hesap örneğiyle güçlendir."
akakce.com,adana mayer limon fiyatları,13,,True,https://www.akakce.com/meyve/limonlar.html,7.84,1358,/urun/limon-mayer,Mevcut Mayer sayfasında Adana veri kapsamını açıklayan içerik; yerel seri tamamlanınca şehir sayfası.
akakce.com,soğan fiyatları,1,4,True,https://www.akakce.com/sebze/soganlar.html,5.73,1212,/urun/sogan-kuru,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
akakce.com,nar fiyatları 2026,12,2,False,"https://www.akakce.com/meyve/en-ucuz-nar-kg-fiyati,1178416574.html",4.26,1119,/urun/nar,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
akakce.com,üzüm fiyatları,3,,True,https://www.akakce.com/kuru-meyve/kuru-uzum.html,6.1,898,/urun/uzum,"Taze/kuru üzüm niyetini ayır; mevcut hedefi koru, çeşide ve kaynağa bağlı açıklama ekle."
akakce.com,2026 üzüm fiyatları,10,2,False,https://www.akakce.com/kuru-meyve/kuru-uzum.html,3.03,842,/urun/uzum,"Taze/kuru üzüm niyetini ayır; mevcut hedefi koru, çeşide ve kaynağa bağlı açıklama ekle."
alanyapostasi.com.tr,mersin hal fiyatları,20,9,False,https://www.alanyapostasi.com.tr/fiyatlar-dusmek-bilmiyor-antalya-halinde-durum-vahim,8.46,2051,/hal/mersin-hal,Son kaynak tarihi 22 Haziran; yeni yazıdan önce güncel resmi kaynak ve ETL sorununu çöz.
alanyapostasi.com.tr,gaziantep hal fiyatları,17,4,False,https://www.alanyapostasi.com.tr/fiyatlar-dusmek-bilmiyor-antalya-halinde-durum-vahim,4.62,1234,/hal/gaziantep-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
alibotanik.com,nar fiyatları 2026,16,2,False,https://www.alibotanik.com/kategori/nar-fidani,4.26,1119,/urun/nar,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
ankara.bel.tr,hal fiyatları,3,12,True,https://www.ankara.bel.tr/hal-fiyatlari,7.59,3139,/fiyatlar,Ana sayfa/fiyatlar sorgu sahipliğini incele; şehir bağlantıları ve son veri tarihlerini güçlendir.
ankara.bel.tr,ankara hal fiyatları,1,10,True,https://www.ankara.bel.tr/hal-fiyatlari,4.67,2981,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
ankara.bel.tr,bursa hal fiyatları,15,11,False,https://www.ankara.bel.tr/hal-fiyatlari,2.85,1866,/hal/bursa-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
ankara.bel.tr,ankara hal fiyatları bugün,1,3,True,https://www.ankara.bel.tr/hal-fiyatlari,5.4,1226,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
ankara.bel.tr,nar fiyatları 2026,20,2,False,https://www.ankara.bel.tr/hal-fiyatlari,4.26,1119,/urun/nar,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
ankara.bel.tr,istanbul hal fiyatları bugün,20,9,False,https://www.ankara.bel.tr/hal-fiyatlari,4.19,1052,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
ankara.bel.tr,ankara meyve sebze hali fiyatları,1,4,True,https://www.ankara.bel.tr/hal-fiyatlari,6.8,775,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
ankarahalfiyatlari.wordpress.com,ankara hal fiyatları bugün,14,3,False,https://ankarahalfiyatlari.wordpress.com/,5.4,1226,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
antalya.bel.tr,ankara meyve sebze hali fiyatları,19,4,False,https://www.antalya.bel.tr/tr/halden-gunluk-fiyatlar,6.8,775,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
antalyagundem.com.tr,mersin hal fiyatları,11,9,False,https://www.antalyagundem.com.tr/mersin-hal-fiyatlari,8.46,2051,/hal/mersin-hal,Son kaynak tarihi 22 Haziran; yeni yazıdan önce güncel resmi kaynak ve ETL sorununu çöz.
apexhali.com,ankara hal fiyatları bugün,10,3,False,https://www.apexhali.com/,5.4,1226,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
asemkom.org.tr,ankara hal fiyatları,7,10,True,https://www.asemkom.org.tr/wp-content/uploads/2023/12/4_12_2023.pdf,4.67,2981,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
avokadocuayse.com,limon piyasası,19,6,False,https://www.avokadocuayse.com/,5.64,4118,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
balikesirposta.com.tr,adana limon fiyatları,7,6,False,https://www.balikesirposta.com.tr/adana-da-limonun-fiyatini-dusurecek-hasat-basladi-44431.html,7.8,4403,/urun/limon,Adana resmi veri akışını doğrula/onar; genel fiyatı Adana fiyatı diye sunma; yerel sayfa veri kapısı sonrası.
balikesirposta.com.tr,adana mayer limon fiyatları,11,,True,https://www.balikesirposta.com.tr/adana-da-limonun-fiyatini-dusurecek-hasat-basladi-44431.html,7.84,1358,/urun/limon-mayer,Mevcut Mayer sayfasında Adana veri kapsamını açıklayan içerik; yerel seri tamamlanınca şehir sayfası.
batiakdeniztv.com,istanbul hal fiyatları,9,3,False,https://www.batiakdeniztv.com/istanbul-hal-fiyatlari,4.3,6157,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
batiakdeniztv.com,hal fiyatları,15,12,False,https://www.batiakdeniztv.com/antalya-hal-fiyatlari,7.59,3139,/fiyatlar,Ana sayfa/fiyatlar sorgu sahipliğini incele; şehir bağlantıları ve son veri tarihlerini güçlendir.
batiakdeniztv.com,ankara hal fiyatları,4,10,True,https://www.batiakdeniztv.com/ankara-hal-fiyatlari,4.67,2981,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
batiakdeniztv.com,mersin hal fiyatları,3,9,True,https://www.batiakdeniztv.com/mersin-hal-fiyatlari,8.46,2051,/hal/mersin-hal,Son kaynak tarihi 22 Haziran; yeni yazıdan önce güncel resmi kaynak ve ETL sorununu çöz.
batiakdeniztv.com,konya hal fiyatları,16,18,True,https://www.batiakdeniztv.com/konya-hal-fiyatlari,2.74,1949,/hal/konya-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
batiakdeniztv.com,denizli hal fiyatları,16,6,False,https://www.batiakdeniztv.com/kinik-ova-hal-fiyatlari,3.21,1348,/hal/denizli-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
batiakdeniztv.com,ankara hal fiyatları bugün,5,3,False,https://www.batiakdeniztv.com/ankara-hal-fiyatlari,5.4,1226,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
batiakdeniztv.com,istanbul hal fiyatları bugün,6,9,True,https://www.batiakdeniztv.com/istanbul-hal-fiyatlari,4.19,1052,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
batiakdeniztv.com,istanbul sebze hali fiyatları,14,8,False,https://www.batiakdeniztv.com/istanbul-hal-fiyatlari,5.24,1023,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
batiakdeniztv.com,ankara meyve sebze hali fiyatları,3,4,True,https://www.batiakdeniztv.com/ankara-hal-fiyatlari,6.8,775,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bbc.com,limon fiyatları,6,5,False,https://www.bbc.com/turkce/articles/c623l9n3zr9o,5.85,4838,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
bbc.com,limon piyasası,9,6,False,https://www.bbc.com/turkce/articles/c623l9n3zr9o,5.64,4118,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
bbc.com,mersin limon fiyatları,9,3,False,https://www.bbc.com/turkce/articles/c623l9n3zr9o,6.54,3343,/piyasa/erdemli-limon,"Yerel veri akışını onar; piyasa, analiz ve ürün sayfalarının amaçlarını ve iç bağlantılarını ayır."
bbc.com,adana mayer limon fiyatları,5,,True,https://www.bbc.com/turkce/articles/c623l9n3zr9o,7.84,1358,/urun/limon-mayer,Mevcut Mayer sayfasında Adana veri kapsamını açıklayan içerik; yerel seri tamamlanınca şehir sayfası.
bettybluecityfarm.com.tr,mersin hal fiyatları,10,9,False,https://www.bettybluecityfarm.com.tr/raporlar/hal/mersin-yaban-mersini/,8.46,2051,/hal/mersin-hal,Son kaynak tarihi 22 Haziran; yeni yazıdan önce güncel resmi kaynak ve ETL sorununu çöz.
biantep.com,gaziantep hal fiyatları,3,4,True,https://biantep.com/hal-fiyatlari,4.62,1234,/hal/gaziantep-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
biga.bel.tr,istanbul hal fiyatları,20,3,False,https://www.biga.bel.tr/vefat-edenler,4.3,6157,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
bigpara.hurriyet.com.tr,limon fiyatları,17,5,False,https://bigpara.hurriyet.com.tr/haberler/genel-haberler/limonda-fiyatlari-dusurecek-hasat_ID1616271/,5.85,4838,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
biletinial.com,mersin limon fiyatları,20,3,False,https://biletinial.com/tr-tr/tiyatro/ilker-ayrikla-gercekler-acidir,6.54,3343,/piyasa/erdemli-limon,"Yerel veri akışını onar; piyasa, analiz ve ürün sayfalarının amaçlarını ve iç bağlantılarını ayır."
biletinial.com,ankara hal fiyatları,18,10,False,https://biletinial.com/tr-tr/tiyatro/sen-de-gitme-triyandafilis-dt,4.67,2981,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bilgigazetesi.org,salçalık domates fiyatları,17,,True,https://bilgigazetesi.org/haber/2024-yili-salcalik-domates-fiyatlari-ne-kadar-oldu,7.93,1828,/urun/domates-salcalik,"Mevcut sayfayı Rio/çeşit, hal-fabrika ayrımı ve veriye dayalı hesap örneğiyle güçlendir."
bilgikonu.com,bayrampaşa hal fiyatları,14,13,False,https://www.bilgikonu.com/bayrampasa-hal-fiyatlari/,3.96,1936,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
birgun.net,gaziantep hal fiyatları,18,4,False,https://www.birgun.net/makale/tiyatro-sanat-oldugu-kadar-saygidir-706091,4.62,1234,/hal/gaziantep-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bizdekalmasin.com,bursa hal fiyatları,6,11,True,https://www.bizdekalmasin.com/fiyatlari/bursa-hal-fiyatlari/,2.85,1866,/hal/bursa-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bizdekalmasin.com,bayrampaşa hal fiyatları,10,13,True,https://www.bizdekalmasin.com/fiyatlari/bayrampasa-hal-fiyatlari/,3.96,1936,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
bizdekalmasin.com,denizli hal fiyatları,7,6,False,https://www.bizdekalmasin.com/fiyatlari/denizli-hal-fiyatlari/,3.21,1348,/hal/denizli-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bizdekalmasin.com,kocaeli hal fiyatları,17,,True,https://www.bizdekalmasin.com/fiyatlari/kocaeli-hal-fiyatlari/,3.87,1093,/hal/kocaeli-hal-merkez,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bolgegazetesi.com.tr,adana mayer limon fiyatları,16,,True,https://bolgegazetesi.com.tr/adanada-limon-fiyatlari-neden-artiyor/,7.84,1358,/urun/limon-mayer,Mevcut Mayer sayfasında Adana veri kapsamını açıklayan içerik; yerel seri tamamlanınca şehir sayfası.
borsa.tobb.org.tr,üzüm fiyatları,17,,True,https://borsa.tobb.org.tr/fiyat_urun3.php?ana_kod=9&alt_kod=916,6.1,898,/urun/uzum,"Taze/kuru üzüm niyetini ayır; mevcut hedefi koru, çeşide ve kaynağa bağlı açıklama ekle."
boyner.com.tr,adana limon fiyatları,16,6,False,https://www.boyner.com.tr/parfum-x-c4001,7.8,4403,/urun/limon,Adana resmi veri akışını doğrula/onar; genel fiyatı Adana fiyatı diye sunma; yerel sayfa veri kapısı sonrası.
bugunkocaeli.com.tr,kocaeli hal fiyatları,4,,True,https://www.bugunkocaeli.com.tr/kocaeli-hal-fiyatlari-aciklandi-sebze-ve-meyvede-son-durum-19-mart-2026,3.87,1093,/hal/kocaeli-hal-merkez,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bursa.bel.tr,bursa hal fiyatları,1,11,True,https://www.bursa.bel.tr/hal_fiyatlari,2.85,1866,/hal/bursa-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bursa.bel.tr,bayrampaşa meyve sebze hali fiyat listesi,19,,True,https://www.bursa.bel.tr/hal_fiyatlari,4.03,1249,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
cagri.com,soğan fiyatları,20,4,False,https://www.cagri.com/sogan-kuru-taze-kg,5.73,1212,/urun/sogan-kuru,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
carrefoursa.com,patates fiyatları,10,4,False,https://www.carrefoursa.com/patates-sogan-ve-sarimsak/c/1033,7.14,2639,/urun/patates,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
carrefoursa.com,salçalık domates fiyatları,18,,True,https://www.carrefoursa.com/salcalik-domates-kg-p-30019244,7.93,1828,/urun/domates-salcalik,"Mevcut sayfayı Rio/çeşit, hal-fabrika ayrımı ve veriye dayalı hesap örneğiyle güçlendir."
carrefoursa.com,adana mayer limon fiyatları,9,,True,https://www.carrefoursa.com/limon-mayer-kg-p-30006959,7.84,1358,/urun/limon-mayer,Mevcut Mayer sayfasında Adana veri kapsamını açıklayan içerik; yerel seri tamamlanınca şehir sayfası.
carrefoursa.com,soğan fiyatları,11,4,False,https://www.carrefoursa.com/sogan-kuru-yeni-hasat-kg-p-30056639,5.73,1212,/urun/sogan-kuru,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
carrefoursa.com,nar fiyatları 2026,8,2,False,https://www.carrefoursa.com/nar-kg-p-30054444,4.26,1119,/urun/nar,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
ciftcikolik.com,üzüm fiyatları 2026,9,2,False,https://ciftcikolik.com/fiyatlar/istanbul/uzum,3.36,1019,/urun/uzum,"Taze/kuru üzüm niyetini ayır; mevcut hedefi koru, çeşide ve kaynağa bağlı açıklama ekle."
cimri.com,limon fiyatları,10,5,False,"https://www.cimri.com/meyve/en-ucuz-lime-limon-adet-fiyatlari,2584777659",5.85,4838,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
cimri.com,limon piyasası,10,6,False,"https://www.cimri.com/market/meyve/en-ucuz-limon-fiyatlari,116833",5.64,4118,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
cimri.com,mersin limon fiyatları,13,3,False,"https://www.cimri.com/market/meyve/en-ucuz-limon-fiyatlari,116833",6.54,3343,/piyasa/erdemli-limon,"Yerel veri akışını onar; piyasa, analiz ve ürün sayfalarının amaçlarını ve iç bağlantılarını ayır."
cimri.com,patates fiyatları,6,4,False,"https://www.cimri.com/market/sebze/en-ucuz-patates-fiyatlari,53318",7.14,2639,/urun/patates,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
cimri.com,konya hal fiyatları,9,18,True,https://www.cimri.com/konya-hali,2.74,1949,/hal/konya-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
cimri.com,salçalık domates fiyatları,9,,True,"https://www.cimri.com/market/sebze/en-ucuz-rio-domates-fiyatlari,1008260",7.93,1828,/urun/domates-salcalik,"Mevcut sayfayı Rio/çeşit, hal-fabrika ayrımı ve veriye dayalı hesap örneğiyle güçlendir."
cimri.com,denizli hal fiyatları,15,6,False,https://www.cimri.com/denizli-hali,3.21,1348,/hal/denizli-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
cimri.com,soğan fiyatları,6,4,False,"https://www.cimri.com/sebze/en-ucuz-taze-sogan-bag-fiyatlari,2584828419",5.73,1212,/urun/sogan-kuru,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
cimri.com,nar fiyatları 2026,4,2,False,"https://www.cimri.com/market/meyve/en-ucuz-nar-fiyatlari,116746",4.26,1119,/urun/nar,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
cimri.com,erdemli limon fiyatları,8,2,False,"https://www.cimri.com/market/meyve/en-ucuz-limon-fiyatlari,116833",5.71,985,/piyasa/erdemli-limon,"Yerel veri akışını onar; piyasa, analiz ve ürün sayfalarının amaçlarını ve iç bağlantılarını ayır."
cimri.com,üzüm fiyatları,14,,True,https://www.cimri.com/market/kuru-uzum-fiyatlari,6.1,898,/urun/uzum,"Taze/kuru üzüm niyetini ayır; mevcut hedefi koru, çeşide ve kaynağa bağlı açıklama ekle."
cnnturk.com,adana limon fiyatları,18,6,False,https://www.cnnturk.com/ekonomi/limon-ithalatinda-gumruk-vergisi-gecici-olarak-dusuruldu-2405528,7.8,4403,/urun/limon,Adana resmi veri akışını doğrula/onar; genel fiyatı Adana fiyatı diye sunma; yerel sayfa veri kapısı sonrası.
corum.bel.tr,bursa hal fiyatları,18,11,False,https://www.corum.bel.tr/hal-fiyatlari,2.85,1866,/hal/bursa-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
corum.bel.tr,ankara meyve sebze hali fiyatları,15,4,False,https://www.corum.bel.tr/hal-fiyatlari,6.8,775,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
cukurovagazetesi.com,mersin limon fiyatları,10,3,False,https://cukurovagazetesi.com/mersinde-limon-fiyatlari-rekor-kiriyor,6.54,3343,/piyasa/erdemli-limon,"Yerel veri akışını onar; piyasa, analiz ve ürün sayfalarının amaçlarını ve iç bağlantılarını ayır."
cumhuriyet.com.tr,adana limon fiyatları,10,6,False,https://www.cumhuriyet.com.tr/ekonomi/adanada-limonun-fiyatini-dusurecek-hasat-basladi-2234480,7.8,4403,/urun/limon,Adana resmi veri akışını doğrula/onar; genel fiyatı Adana fiyatı diye sunma; yerel sayfa veri kapısı sonrası.
cumhuriyet.com.tr,adana mayer limon fiyatları,12,,True,https://www.cumhuriyet.com.tr/ekonomi/adanada-limonun-fiyatini-dusurecek-hasat-basladi-2234480,7.84,1358,/urun/limon-mayer,Mevcut Mayer sayfasında Adana veri kapsamını açıklayan içerik; yerel seri tamamlanınca şehir sayfası.
denizli.bel.tr,hal fiyatları,8,12,True,https://www.denizli.bel.tr/Default.aspx?k=halfiyatlari,7.59,3139,/fiyatlar,Ana sayfa/fiyatlar sorgu sahipliğini incele; şehir bağlantıları ve son veri tarihlerini güçlendir.
denizli.bel.tr,mersin hal fiyatları,17,9,False,https://www.denizli.bel.tr/Default.aspx?k=halfiyatlari,8.46,2051,/hal/mersin-hal,Son kaynak tarihi 22 Haziran; yeni yazıdan önce güncel resmi kaynak ve ETL sorununu çöz.
denizli.bel.tr,denizli hal fiyatları,1,6,True,https://www.denizli.bel.tr/Default.aspx?k=halfiyatlari,3.21,1348,/hal/denizli-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
denizli.bel.tr,istanbul sebze hali fiyatları,20,8,False,https://www.denizli.bel.tr/Default.aspx?k=halfiyatlari,5.24,1023,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
denizliyeniolay.com,denizli hal fiyatları,10,6,False,https://denizliyeniolay.com/etiket/hal-fiyatlari,3.21,1348,/hal/denizli-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
dokuz8haber.net,bayrampaşa hal fiyatları,16,13,False,https://dokuz8haber.net/istanbul-hal-fiyatlari,3.96,1936,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
