id;kategori;kurum;tur;e-posta;sehir;durum;alternatif adresler;kaynak
41;Meslek Örgütü;Fidan Üreticileri Alt Birliği;association;fuab@fuab.org.tr;;target;;https://fuab.org.tr/
42;Sektör Birliği;Setbir (Süt Et Sanayicileri);association;setbir@setbir.org.tr;;target;;https://www.setbir.org.tr/
43;Sektör Birliği;Beyaz Et Sanayicileri (BESD-BİR);association;besd-bir@besd-bir.org;;target;;https://besd-bir.org/tr/
44;Sektör Birliği;Yumurta Üreticileri (YUM-BİR);association;bilgi@yum-bir.org;;target;;https://yum-bir.org/
45;Sektör Birliği;Ulusal Süt Konseyi;association;info@ulusalsutkonseyi.org.tr;;target;;https://ulusalsutkonseyi.org.tr/
46;Sektör Birliği;Ulusal Kırmızı Et Konseyi;association;info@ukon.org.tr;;target;;https://ukon.org.tr/
47;Sektör Birliği;Pankobirlik;association;panko@pankobirlik.com.tr;;target;;https://pankobirlik.com.tr/
48;Sektör Birliği;Zeytindostu Derneği;association;zeytindostudernek@gmail.com;;target;;https://zeytindostu.org.tr/iletisim
49;Sektör Birliği;Gıda Güvenliği Derneği;association;ege@ggd.org.tr;;target;ggd@ggd.org.tr;https://ggd.org.tr/en/contact/
50;Sektör Birliği;Tarım Makineleri Birliği (TARMAKBİR);association;tarmakbir@tarmakbir.org;;target;;https://tarmakbir.org/
51;Sektör Birliği;Gübre Üreticileri (GÜİD);association;info@guid.org.tr;;target;;https://guid.org.tr/en/home-2/
52;Ticaret Borsası;Ankara Ticaret Borsası;chamber;info@ankaratb.org.tr;;target;;https://ankaratb.org.tr/
53;Ticaret Borsası;Konya Ticaret Borsası;chamber;bilgi@ktb.org.tr;;target;;https://ktb.org.tr/iletisim
54;Ticaret Borsası;İzmir Ticaret Borsası;chamber;info@itb.org.tr;;target;;https://itb.org.tr/Iletisim
55;Ticaret Borsası;Gaziantep Ticaret Borsası;chamber;gtb@gtb.org.tr;;target;;https://www.gtb.org.tr/
56;Ticaret Borsası;Eskişehir Ticaret Borsası;chamber;etb@etb.org.tr;;target;;https://etb.org.tr/
57;Ticaret Borsası;Denizli Ticaret Borsası;chamber;info@dtb.org.tr;;target;;https://dtb.org.tr/
58;Ticaret Borsası;Bursa Ticaret Borsası;chamber;btb@btb.org.tr;;target;;https://btb.org.tr/
59;Ticaret Borsası;Kayseri Ticaret Borsası;chamber;info@kayseritb.org.tr;;target;;https://kayseritb.org.tr/
60;Ticaret Borsası;Samsun Ticaret Borsası;chamber;samsuntb@tobb.org.tr;;target;;https://samsuntb.org.tr/
61;Ticaret Borsası;Ordu Ticaret Borsası;chamber;ordutb@tobb.org.tr;;target;;https://www.ordutb.org.tr/
62;Ticaret Borsası;Trabzon Ticaret Borsası;chamber;ttb@ttb.org.tr;;target;;https://ttb.org.tr/
63;Ticaret Borsası;Malatya Ticaret Borsası;chamber;info@malatyatb.org.tr;;target;;https://malatyatb.org.tr/Contact
65;Ticaret Borsası;Manisa Ticaret Borsası;chamber;info@manisatb.org.tr;;target;;https://manisatb.org.tr/
66;Ticaret Borsası;Karaman Ticaret Borsası;chamber;bilgi@karamantb.org.tr;;target;;https://www.karamantb.org.tr/
67;Ticaret Borsası;Yozgat Ticaret Borsası;chamber;info@yozgattb.org.tr;;target;yozgattb@tobb.org.tr;https://www.yozgattb.org.tr/#googtrans(en
68;Ticaret Borsası;Çorum Ticaret Borsası;chamber;corumtb@tobb.org.tr;;target;;https://corumtb.org.tr/
69;Ticaret Borsası;Erzurum Ticaret Borsası;chamber;bilgi@etb.org.tr;;target;uye@etb.org.tr;https://erzurumtb.org.tr/
70;Akademi;Çukurova Ü. Ziraat Fakültesi;other;ziraat@cu.edu.tr;;target;;https://ziraat.cu.edu.tr/
71;Akademi;Akdeniz Ü. Ziraat Fakültesi;other;info@akdeniz.edu.tr;;target;ziraat@akdeniz.edu.tr;https://www.akdeniz.edu.tr/tr/haber/akdeniz_universitesi%E2%80%99nden_iletisim_s%C3%BBrasi%E2%80%99na_akademik_katki-442
72;Akademi;Ondokuz Mayıs Ü. Ziraat Fakültesi;other;ziraat@omu.edu.tr;;target;;https://ziraat.omu.edu.tr/tr
